layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Puntos IGN,2.8,2.48124,-0.319,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.1,2.37032,-0.73,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.45206,-0.148,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.49236,-0.108,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.53504,-0.065,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.80331,0.203,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.26823,-0.432,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.1,2.36359,-0.736,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.43075,-1.569,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.46609,-0.134,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.61591,-0.084,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.41341,-1.587,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.6,2.38586,-1.214,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.6,2.39078,-1.209,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.41308,-0.587,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.4347,-0.165,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,5,2.65999,-2.34,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.41893,-0.581,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,5,2.61497,-2.385,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.68949,-1.311,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,5,2.66137,-2.339,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.75635,-1.244,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.76316,-1.237,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.79673,-0.203,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.68499,-0.315,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.76795,-0.232,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.88,-0.12,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.60138,-0.399,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.63397,-0.366,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.62641,-0.374,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.47123,-0.529,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.6702,-0.33,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.62412,-1.376,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.5667,-1.433,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.66368,-0.336,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.65788,-1.342,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.62554,-1.374,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.73796,-1.262,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.68475,-1.315,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.7707,-1.229,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.67904,-1.321,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.593,-1.407,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.62438,-0.376,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4,2.68638,-1.314,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.42134,-0.579,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3,2.47472,-0.525,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
